rank,feature,mean_abs_shap,mean_shap,positive_shap_pct_nonzero,negative_shap_pct_nonzero,zero_shap_pct,direction_consistency_pct,direction_consistency_label,mean_feature_value,median_feature_value,overall_direction
130,roam_ic_mou_pct_change_7_to_8,0.007362404838204384,0.0027043677400797606,83.78,16.220000000000002,0.0,83.78,Strongly consistent,-0.5088443427244386,-0.909148316833672,Positive average contribution
131,voice_inactive_8,0.007298652548342943,-0.006172779481858015,9.22,90.78,0.0,90.78,Strongly consistent,0.0918,0.0,Negative average contribution
132,roam_ic_mou_7,0.007131780963391066,-0.0006656074547208846,25.180000000000003,74.82,0.0,74.82,Moderately consistent,6.3528839999999995,0.0,Negative average contribution
133,arpu_pct_change_6_to_8,0.007078351452946663,0.002400709083303809,54.120000000000005,45.879999999999995,0.0,54.120000000000005,Mixed,22.61934490516514,-0.0404276216856269,Positive average contribution
134,loc_og_mou_std_6_8,0.007001381833106279,-0.0003697265638038516,61.47,38.53,0.0,61.47,Moderately consistent,42.258860903411566,22.21430320011561,Negative average contribution
135,std_ic_t2f_mou_7,0.0068374695256352425,0.0010780771262943745,20.29,79.71000000000001,0.0,79.71000000000001,Strongly consistent,2.127765,0.0,Positive average contribution
136,total_ic_mou_6,0.006785733625292778,-0.0016698099207133055,35.199999999999996,64.8,0.0,64.8,Moderately consistent,199.92902600000002,114.68,Negative average contribution
137,recharge_amount_min_6_8,0.006704428233206272,0.0030169154051691294,55.16,44.84,0.0,55.16,Mixed,189.0602,110.0,Positive average contribution
138,arpu_7,0.006619967520236969,-0.0003630318969953805,35.79,64.21,0.0,64.21,Moderately consistent,274.27194560000004,190.68,Negative average contribution
139,recharge_amount_recent_vs_baseline,0.006523480173200369,-0.0031894538551568985,20.84,79.16,0.0,79.16,Strongly consistent,-2.0971666666666664,-2.6666666666666288,Negative average contribution
140,offnet_mou_7,0.006444134749472141,-0.001557689975015819,43.53,56.47,0.0,56.47,Mixed,195.4576845,92.235,Negative average contribution
141,loc_ic_mou_6,0.006403257604688406,-0.0011226730421185493,41.31,58.69,0.0,58.69,Mixed,164.50409199999999,92.19,Negative average contribution
142,recharge_amount_recent_vs_baseline_pct,0.006353394128382206,-0.001002144650556147,42.17,57.830000000000005,0.0,57.830000000000005,Mixed,-0.015609691340195428,-0.0149253731343284,Negative average contribution
143,loc_ic_mou_max_6_8,0.006210632156580687,-0.001911644358187914,28.34,71.66,0.0,71.66,Moderately consistent,219.41021,132.19,Negative average contribution
144,recharge_count_trend_score,0.006151923909783363,0.00043082903721369803,60.11,39.89,0.0,60.11,Moderately consistent,-0.1285,0.0,Positive average contribution
145,loc_og_t2t_mou_7,0.006096783094108105,0.0004216423549223691,42.980000000000004,57.02,0.0,57.02,Mixed,43.368084499999995,11.645,Positive average contribution
146,std_og_mou_change_6_to_8,0.006070855539292097,0.0005362179945223033,52.019999999999996,47.980000000000004,0.0,52.019999999999996,Mixed,7.277291999999998,0.0,Positive average contribution
147,aug_vbc_3g,0.006006311159580946,-0.0031559166964143515,76.92999999999999,23.07,0.0,76.92999999999999,Strongly consistent,66.57308499999999,0.0,Negative average contribution
148,roam_og_mou_pct_change_7_to_8,0.005828813649713993,0.0002062711282633245,22.62,77.38000000000001,0.0,77.38000000000001,Strongly consistent,-0.18559185776166542,-0.9529758446086162,Positive average contribution
149,arpu_recent_vs_baseline_pct,0.005516912788152695,-0.0015021206345409155,33.72,66.28,0.0,66.28,Moderately consistent,-0.013224399742228195,-0.0210073588755327,Negative average contribution
150,std_og_mou_pct_change_7_to_8,0.005442515015602112,0.002212311839684844,63.49,36.51,0.0,63.49,Moderately consistent,1.3176025184142732,-0.1613632142636042,Positive average contribution
151,std_ic_mou_8,0.005295222159475088,-0.0010783872567117214,49.730000000000004,50.27,0.0,50.27,Mixed,33.26165400000001,5.73,Negative average contribution
152,loc_og_mou_6,0.004996410105377436,-0.00045485858572646976,47.75,52.25,0.0,52.25,Mixed,139.29733599999997,65.41,Negative average contribution
153,recharge_count_recent_vs_baseline,0.004384010564535856,-0.0017159320414066315,28.89,71.11,0.0,71.11,Moderately consistent,-0.2496333333333333,-0.3333333333333335,Negative average contribution
154,vol_2g_mb_change_6_to_8,0.0041809407994151115,-0.0009891634108498693,19.650000000000002,80.35,0.0,80.35,Strongly consistent,-4.034015,0.0,Negative average contribution
155,sachet_2g_8,0.004072920884937048,-0.000852566328831017,25.95,74.05000000000001,0.0,74.05000000000001,Moderately consistent,0.4502,0.0,Negative average contribution
156,roam_og_mou_6,0.003943545278161764,-0.0012814797228202224,19.53,80.47,0.0,80.47,Strongly consistent,13.341733000000001,0.0,Negative average contribution
157,arpu_trend_score,0.0026401374489068985,0.00031826223130337894,72.91,27.089999999999996,0.0,72.91,Moderately consistent,-0.0358,0.0,Positive average contribution
