model,curve_type,x_value,y_value,threshold
Logistic Regression,ROC,0.00819150628280579,0.35273492286115005,0.7648069399645252
Logistic Regression,ROC,0.008271035470017497,0.35273492286115005,0.7647905673012088
Logistic Regression,ROC,0.008271035470017497,0.3541374474053296,0.7631840281408799
Logistic Regression,ROC,0.008350564657229203,0.3541374474053296,0.7630441282810455
Logistic Regression,ROC,0.008350564657229203,0.3688639551192146,0.7546963284986464
Logistic Regression,ROC,0.00843009384444091,0.3688639551192146,0.7539587513197212
Logistic Regression,ROC,0.00843009384444091,0.3709677419354839,0.7534320041836194
Logistic Regression,ROC,0.008509623031652617,0.3709677419354839,0.7527763075419547
Logistic Regression,ROC,0.008509623031652617,0.3751753155680224,0.7505698805032238
Logistic Regression,ROC,0.008589152218864323,0.3751753155680224,0.7502259816126932
Logistic Regression,ROC,0.008589152218864323,0.3758765778401122,0.7499926128000779
Logistic Regression,ROC,0.00866868140607603,0.3758765778401122,0.7490803935602183
Logistic Regression,ROC,0.00866868140607603,0.37657784011220197,0.7482026951890729
Logistic Regression,ROC,0.008827739780499444,0.37657784011220197,0.7454832215196785
Logistic Regression,ROC,0.008827739780499444,0.3814866760168303,0.7422120727976549
Logistic Regression,ROC,0.009066327342134563,0.3814866760168303,0.740382542059864
Logistic Regression,ROC,0.009066327342134563,0.38920056100981765,0.7352421211948352
Logistic Regression,ROC,0.009225385716557977,0.38920056100981765,0.7349324473185327
Logistic Regression,ROC,0.009225385716557977,0.39340813464235624,0.7324147055533022
Logistic Regression,ROC,0.009304914903769683,0.39340813464235624,0.7315129987734975
Logistic Regression,ROC,0.009304914903769683,0.394109396914446,0.730561672558807
Logistic Regression,ROC,0.009463973278193098,0.394109396914446,0.729763442957545
Logistic Regression,ROC,0.009463973278193098,0.39481065918653574,0.7295953851906299
Logistic Regression,ROC,0.009702560839828216,0.39481065918653574,0.7285542621551452
Logistic Regression,ROC,0.009702560839828216,0.3955119214586255,0.7279913497603828
