feature,mean_cv_auc,cv_auc_std,stable_folds,stability_rate
arpu_3g_6,0.5039568468685293,0.00274889132584178,0,0.0
arpu_3g_7,0.501998647217046,0.0016452577387126752,0,0.0
no_recharge_amt_6,0.5248781003417153,0.004248248179624293,0,0.0
monthly_3g_8,0.5209239374804673,0.0020283450752108293,0,0.0
isd_ic_mou_6,0.507612445972371,0.003984271570830199,0,0.0
std_og_t2f_mou_7,0.5331565241376536,0.001608833351860081,0,0.0
monthly_2g_7,0.5264541808249176,0.0021095656778786715,0,0.0
voice_rech_recency_6,0.522107106752401,0.006324639097516058,0,0.0
std_og_t2t_mou_6,0.5627736259028628,0.0037335837693004826,5,1.0
vol_2g_mb_std_6_8,0.5448373847059795,0.003326272205455449,1,0.2
no_recharge_count_6,0.5138920818748691,0.0020418016490325102,0,0.0
isd_og_mou_pct_change_7_to_8,0.5032504642910093,0.001731955789127316,0,0.0
night_pck_user_7,0.5014290738856342,0.0007715870612948965,0,0.0
spl_ic_mou_7,0.5232801675386161,0.0030526911987308666,0,0.0
spl_og_mou_7,0.5564501480982326,0.0053707206306297045,4,0.8
jun_vbc_3g,0.5191956948778957,0.005343422969956499,0,0.0
vol_3g_mb_6,0.5182508392679216,0.0051796017302402205,0,0.0
count_rech_3g_6,0.5032134908399426,0.0016436654761441793,0,0.0
sachet_3g_6,0.5022911930273539,0.0005916421016505831,0,0.0
std_ic_t2o_mou_6,,,0,0.0
isd_og_mou_8,0.5100948812452174,0.002372377685430887,0,0.0
jul_vbc_3g,0.5339263019851664,0.002236698198046005,0,0.0
loc_ic_t2o_mou,,,0,0.0
isd_ic_mou_7,0.5259474465296508,0.0033737703456452003,0,0.0
isd_og_mou_pct_change_6_to_8,0.5049587715775073,0.0014163341550317014,0,0.0
count_rech_3g_7,0.5144271699636059,0.0023643321605656452,0,0.0
vol_3g_mb_std_6_8,0.532013443239979,0.004955601201336497,0,0.0
std_ic_t2t_mou_6,0.5203058889500168,0.0059707403729707224,0,0.0
spl_ic_mou_6,0.5288339017383596,0.00404905742978595,0,0.0
ic_others_6,0.5247508762072103,0.007112445537890851,0,0.0
monthly_3g_6,0.5025361636392283,0.001370780610148922,0,0.0
monthly_2g_6,0.5184374344551349,0.0019032117787780092,0,0.0
data_rech_recency_6_high_flag,0.5080649815566856,0.0025977516045702295,0,0.0
vol_2g_mb_6,0.523511017888516,0.004600131991146785,0,0.0
isd_og_mou_change_7_to_8,0.5025675579729307,0.0024419344892052837,0,0.0
sachet_3g_8,0.5168569034499215,0.0016058074605531268,0,0.0
std_og_t2o_mou,,,0,0.0
arpu_2g_6,0.5064098331901477,0.004087801042869595,0,0.0
std_og_t2c_mou_7,,,0,0.0
og_others_7,0.5012248018388626,0.00044467098746489125,0,0.0
isd_ic_mou_min_6_8,0.5022004560823925,0.00025400617834467977,0,0.0
vol_3g_mb_7,0.5370368137242055,0.005429232894865721,0,0.0
std_og_t2c_mou_6,,,0,0.0
std_og_t2t_mou_7,0.5153834750617641,0.0063017797480635525,0,0.0
loc_og_t2o_mou,,,0,0.0
og_others_8,0.5018715332272669,0.0004128090969680602,0,0.0
